text_id,caption,new_text_id,new_caption
Word-1000007250,"如果接线我们可以接两根相线,或者说两根火线, 液位继电器侧面我们",1000007250,液位继电器 相线 火线 
Word-1000027950,这种野生植物在田地边有很多可以做菜吃也可以当药材,1000027950,野生植物 田地 药材 
Word-1000020736,"酷热的夏天经历一天工作后,裸露的胳膊被晒黑了几个色度.",1000020736,胳膊 色度 工作 
Word-1000005068,清初四大疑案哪个是真哪个是假你分得清吗,1000005068,大疑案 
Word-1000045877,【每日一笑4】凤凰传奇:过不去了是吧?,1000045877,每日一笑4 凤凰传奇 
Word-1000035074,"从小艺的话可以看出,她手里还掌握一些新证据,警方也势必会再次展开",1000035074,新证据 警方 话 
Word-1000005233,定制酒店台布宾馆餐厅圆形桌布金色红色婚庆餐厅饭店方桌布桌裙舒适,1000005233,裙 酒店台布宾馆餐厅圆形桌布金色红色婚庆餐厅饭店方 
Word-1000048156,液压油封 气缸油封 un型密封圈 u型圈聚氨酯uhs 无骨架油封,1000048156,液压油封 气缸油封 骨架油封 
Word-1000016201,学校教学模型 真人手脚头耳朵牙器官3d设计画图 手板厂翻模上色,1000016201,真人手脚 手板厂翻模 耳朵牙器官 
Word-1000027805,红馆(国贸大酒店店)图片 - 第123张,1000027805,红馆图片 
Word-1000039520,日本著名女艺人冈江久美子图据网络,1000039520,女艺人冈江 美子图据网络 日本 
Word-1000015299,图论与最短路概述ppt,1000015299,图论与最短路概述ppt
Word-1000028347,金牌得主镀金奖杯定制定做荣誉奥斯卡小金人比赛颁奖,1000028347,金牌得主镀金奖杯定制 荣誉奥斯卡小金人比赛颁奖 
Word-1000037095,"火影里被搅局的几场战斗,如果打到最后估计后果不堪",1000037095,火影 搅局 后果 
Word-1000028368,洪涝灾害 洪水 640_435,1000028368,洪涝灾害 洪水 
Word-1000014232,"出入医院,建议使用高级别防护口罩;重点人群,例如公共场所服务人员",1000014232,出入医院 高级别防护口罩 重点人群 
Word-1000004671,故事世外桃源109汗青笔墨落两行无人看来无人唱,1000004671,故事世外桃源 笔墨 人 
Word-1000036724,一汽解放 j6l中卡 复合型 180马力 6.8米仓栅式载货车,1000036724,j6l中卡 一汽 仓栅式 
Word-1000011276,徐记 本田思域crv雅阁飞度锋范凌派杰德 手缝真皮方向,1000011276,锋范凌派杰德 本田思域crv 手缝真皮方向 
Word-1000019410,惊呆小美妞 你们的容颜怎么了?,1000019410,小美妞 容颜 
Word-1000004378,全国都羡慕,1000004378,全国都羡慕
Word-1000005959,提钱游会员 - 信用贷款 - 我爱卡论坛,1000005959,爱卡论坛 信用贷款 会员 
Word-1000046311,挖土机1,1000046311,挖土机1
Word-1000028540,茶马天下,1000028540,茶马天下
Word-1000038548,宁波展讯丨淡妆浓抹总相宜当代名家<人名><人名>国画线上联展,1000038548,国画线 淡妆浓抹 宁波展讯 
Word-1000007716,"大浪商业街,时尚小镇,步行3 分钟7.",1000007716,大浪商业街 时尚小镇 
Word-1000008196,"走进龚滩古镇,让我们沉浸下来",1000008196,"走进龚滩古镇,让我们沉浸下来"
Word-1000040169,民族风布包特色手工布艺女包贴布休闲手提包a032,1000040169,休闲手提包a032 民族风布包特色手工布艺女包 
Word-1000030200,"歼20被曝空中加油能力 具备超远程打击""惩戒""能力",1000030200,加油能力 远程打击 惩戒 
Word-1000007174,"平均身高不足1.9米,首夺全国大赛男篮冠军!",1000007174,平均身高 全国大赛男篮冠军 
Word-1000045437,将干品藏红花浸泡热水中,1000045437,将干品藏红花浸泡热水中
Word-1000024733,"我喜欢你:<人名>再晚出来一会儿,路晋就要""淹死""在醋",1000024733,路晋 醋 
Word-1000027399,ta的所有日志 查看日志      批评家<人名>和其它嘉宾,1000027399,所有日志 批评家 ta 
Word-1000022393,"被吓的魂飞魄散,一边大叫一边跑回妈妈身边",1000022393,大叫 妈妈 
Word-1000009066,"我妈给不给她夹菜我管不着,但是有我给老婆夹菜不就够了,她还要求",1000009066,菜 妈 老婆 
Word-1000037970,净化器包装箱设计,1000037970,净化器包装箱设计
Word-1000008311,人行通道闸机 速通门 人行摆闸 人行通道翼闸 高端写字楼快速闸,1000008311,人行摆闸 速通门 人行通道闸机 
Word-1000011502,fifa任意球怎么踢不高呢,1000011502,fifa任意球怎么踢不高呢
Word-1000044181,73 岁男子乘公交暴怒 抢夺方向盘殴打女司机_段某,1000044181,女司机 段某 方向盘 
Word-1000011702,陆丰市招聘教师政审表,1000011702,陆丰市招聘教师政审表
Word-1000011695,古韵唐典雅丰-唐丰茶具专场玻璃红把茶杯6个一组100ml,1000011695,唐丰茶具专场玻璃红把茶杯 典雅丰 古韵 
Word-1000034003,网易首页>网易号>正文申请入驻> 《日刊体育》援引相关人士消息称,1000034003,日刊体育 网易首页 刊体育 网易号 相关人士消息 
Word-1000017352,sac抖音专场:仪表盘的抖音级换脸,1000017352,抖音级 sac抖音专场 仪表盘 
Word-1000017635,"装上全部配件(云台,保护壳,遮光罩)是201克.",1000017635,配件 装上 
Word-1000044840,"为富强滨州建设整体成势贡献""北海力量""",1000044840,北海力量 富强滨州建设整体成势贡献 
Word-1000010519,感叹时间流逝的说说心情短语,1000010519,感叹时间流逝的说说心情短语
Word-1000023585,"右为松赞干布,中为王子贡日贡赞,左为大臣吞米.桑布札等塑像.",1000023585,松赞干布 王子 贡赞 
Word-1000007906,钢结构设计用节点详图(建筑节点部分),1000007906,节点详图 钢结构设计 
Word-1000042603,你又不用做头发.但其实并非你想象的这么简单.,1000042603,头发 
Word-1000045398,连绵不断的城墙.,1000045398,连绵不断的城墙.
Word-1000046719,蔬菜水果高产抗病甜瓜香瓜西州蜜哈密瓜种子粒尔田西州蜜25种子,1000046719,蔬菜水果高产抗病甜瓜香瓜西州蜜哈密瓜种子粒尔田 
Word-1000036392,"5月一定要多吃这些野菜,能补虚补血,提高免疫力,美容抗衰老",1000036392,野菜 免疫力 美容 
Word-1000041761,b-380因维修资金不到位已在浮船坞呆了数十年,1000041761,维修资金 b-380 浮船坞 
Word-1000048984,"山东省美丽休闲乡村,美丽田园,精品农庄创建示范有了标杆",1000048984,精品农庄 山东省美丽休闲乡村 美丽田园 
Word-1000035019,"泰王重掌军队指挥权,是否意味着君主立宪的瓦解,王权的复活?",1000035019,泰王重掌军队指挥权 王权 复活 
Word-1000027525,攻略| 当端午节遇到父亲节,1000027525,攻略| 当端午节遇到父亲节
Word-1000025201,网红教父金石开:5小时7千万的销售神话背后是电商网红,1000025201,电商网 销售神话 网红教父金石 
Word-1000011031,龙腾pms牵手宁波城建投资控股有限公司 打造高效项目管理,1000011031,宁波城建投资控股有限公司 高效项目管理 龙腾pms 
Word-1000033834,《3500常用字行楷钢笔字帖》(<人名>)【摘要 书评 】,1000033834,3500常用字行楷钢笔字帖 摘要 书评  字行楷钢笔字帖 书评 
Word-1000006458,零用钱大作战_黄羿的作品,1000006458,零用钱大作战_黄羿的作品
Word-1000027466,南森怎么会落难到这步田地呢?,1000027466,南森怎么会落难到这步田地呢?
Word-1000034514,篮球健儿激烈角逐,1000034514,篮球健儿激烈角逐
Word-1000047353,"《哥斯拉2》哥总黔驴技穷,巨兽黎明冉冉升起,机械怪呼",1000047353,哥斯拉2 机械怪 哥斯拉 哥 
Word-1000040317,"对所涉及的重点人群,加强相关行业职业人员,特别是一线职业人员严格",1000040317,相关行业职业人员 重点人群 一线职业人员 
Word-1000029811,"画师啼笑说,这句话易如反掌就是裸露了甚么隐讳的器械的.",1000029811,画师啼笑 器械 反掌 
Word-1000044028,"殊不知,这一舞后面的故事和细节,更让人佩服,是让人拍手称赞的非遗",1000044028,非遗 故事 细节 
Word-1000023762,潘多拉:希腊神话中火神创造的地上第一个女人,1000023762,希腊神话 潘多拉 火神 
Word-1000040282,单票 票 票据 1000_1329 竖版 竖屏,1000040282,单票 竖版 屏 
Word-1000001646,"隔花窥月无多影,带月看花别样姿;多少花前月下客,年年和月醉花枝.",1000001646,花 花枝 姿 
Word-1000017156,"北京之行～6,世界园艺博览会",1000017156,"北京之行～6,世界园艺博览会"
Word-1000025587,"塞政府对此表示强烈抗议.欧盟,美,俄,英,希均发声表达关切.",1000025587,强烈抗议 塞政府 俄 
Word-1000049846,新出三居室 业主很诚意出租 有需要租客可以随时电话咨询,1000049846,租客 居室 业主 
Word-1000009225,燕东微电子,1000009225,燕东微电子
Word-1000010238,"6,翻炒至黄心菜发蔫,加半勺盐调味.",1000010238,盐 
Word-1000014966,"百姓对机械制造了解甚少,自行车没有得到推广,便慢慢淡出人们视野",1000014966,人们视野 机械制造 自行车 
Word-1000038884,"1高三年级开会主题班会,解读五四精神的时代内涵._副本",1000038884,高三年级 主题班会 时代内涵 
Word-1000045659,"(图/网友吕贝筠提供,请勿随意翻拍,以免侵权.",1000045659,网友吕贝筠 侵权 图 
Word-1000030222,"回顾2017翡翠赌石大事件,你都知道吗?",1000030222,翡翠赌石大事件 
Word-1000001154,"里面飘满炸鸡的香气,那有个性的味道总会让第一次品尝的人过口不忘",1000001154,满炸鸡 香气 味道 
Word-1000013093,船 海运 货轮 邮轮 游轮 640_480,1000013093,邮轮 游轮 货轮 
Word-1000043775,"而产后,免疫力下降,其它条件致病菌成为优势菌",1000043775,优势菌 病菌 免疫力 
Word-1000021134,注意9月1日起西宁公交ic卡学生卡开始年审,1000021134,西宁公交ic卡学生卡 
Word-1000025690,86式步兵战车的研制起步于上世纪70年代末.,1000025690,式步兵战车 研制 年代 
Word-1000005823,"只是现在我觉得""完美受害人""这个词,在某些教ㄉ弦丫淮蟠罄挠昧",1000005823,受害人 蟠罄 弦丫 
Word-1000037500,<人名>见专家解读android开发学习方法 - 嵌入式软件,1000037500,嵌入式软件 专家解读android 学习方法 
Word-1000017547,"<人名>   王勃六岁出口成章,<人名>七岁口占一绝,杨炯十岁神童",1000017547,神童 杨炯十 成章 
Word-1000014845,"不过,有分析人士指出,增持虽然表明支持态度,但金额方面杯水车薪.",1000014845,支持态度 分析人士 金额方面杯水车薪 
Word-1000013132,2021同德特发城市更新出售-深圳市金诚房地产有限公司,1000013132,深圳市金诚房地产有限公司 城市更新 
Word-1000019845,"我们人类发出声音的时候是通过声带振动,然后与身体中的肺部,胸腔",1000019845,声带振动 肺部 胸腔 
Word-1000041420,"六.""青年文明号""的标识及其含义",1000041420,青年文明号 标识 含义 
Word-1000013990,"核审 | <人名>排版 | <人名>未经授权禁止转载,侵权必究!",1000013990,侵权 核审 
Word-1000034127,"只有良好的精密夹具,才能保证加工产品的精度要求.",1000034127,精密夹具 加工产品 精度 
Word-1000032082,"上市的大连万达商业地产股份有限公司的股东主要由四部分构成,分别是",1000032082,大连万达商业地产股份有限公司 股东 
Word-1000029897,非常6 1小不点大能耐20170626期有什么值得期待的内容,1000029897,内容 
Word-1000030645,家家爽通用加厚加长扫把拖把杆单杆伸缩杆超轻替换包邮新款铁杆,1000030645,杆单杆 新款铁杆 爽通用 
Word-1000007864,优惠完售价不到宝马x5一半新款凯迪拉克xt6是不是更值得买,1000007864,宝马x5 售价 
Word-1000035092,"因为去发射场工作不能带家属,所以<人名>数个月都没有见到于途,而于",1000035092,发射场工作 家属 于途 
Word-1000011964,"下面,就为您带来今天的残奥晚报,重温残奥赛场的精彩瞬间.",1000011964,残奥晚报 残奥赛场 
Word-1000007663,"语 文 语文老师们的板书大多走的是端正风雅的路线,但也有许多童心",1000007663,童心 板书 语文老师们 
Word-1000045639,"这些高档香烟赢得了市场的认可,被当作福建特色销往全国各地.",1000045639,高档香烟 福建特色 认可 
